index;Sku;Style Id;Catalog;Category;Weight;TP 1;TP 2;MRP Old;Final MRP Old;Ajio MRP;Amazon MRP;Amazon FBA MRP;Flipkart MRP;Limeroad MRP;Myntra MRP;Paytm MRP;Snapdeal MRP;Custom_Size
125;Os228_1432_3XL;Os228_1432;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;3XL
126;Os227_1437_S;Os227_1437;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;S
127;Os227_1437_M;Os227_1437;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;M
128;Os227_1437_L;Os227_1437;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;L
129;Os227_1437_XL;Os227_1437;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;XL
130;Os227_1437_2XL;Os227_1437;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;2XL
131;Os227_1437_3XL;Os227_1437;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;3XL
132;OS224_1433_S;OS224_1433;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;S
133;OS224_1433_M;OS224_1433;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;M
134;OS224_1433_L;OS224_1433;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;L
135;OS224_1433_XL;OS224_1433;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;XL
136;OS224_1433_2XL;OS224_1433;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;2XL
137;OS224_1433_3XL;OS224_1433;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;3XL
138;Os232_1431_S;Os232_1431;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;S
139;Os232_1431_M;Os232_1431;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;M
140;Os232_1431_L;Os232_1431;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;L
141;Os232_1431_XL;Os232_1431;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;XL
142;Os232_1431_2XL;Os232_1431;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;2XL
143;Os232_1431_3XL;Os232_1431;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;3XL
144;Os226_1436_S;Os226_1436;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;S
145;Os226_1436_M;Os226_1436;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;M
146;Os226_1436_L;Os226_1436;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;L
147;Os226_1436_XL;Os226_1436;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;XL
148;Os226_1436_2XL;Os226_1436;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;2XL
149;Os226_1436_3XL;Os226_1436;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;3XL
150;Os230_1438_S;Os230_1438;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;S
151;Os230_1438_M;Os230_1438;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;M
152;Os230_1438_L;Os230_1438;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;L
153;Os230_1438_XL;Os230_1438;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;XL
154;Os230_1438_2XL;Os230_1438;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;2XL
155;Os230_1438_3XL;Os230_1438;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;3XL
156;Os225_1434_S;Os225_1434;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;S
157;Os225_1434_M;Os225_1434;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;M
158;Os225_1434_L;Os225_1434;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;L
159;Os225_1434_XL;Os225_1434;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;XL
160;Os225_1434_2XL;Os225_1434;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;2XL
161;Os225_1434_3XL;Os225_1434;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;3XL
162;Os229_1435_S;Os229_1435;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;S
163;Os229_1435_M;Os229_1435;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;M
164;Os229_1435_L;Os229_1435;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;L
165;Os229_1435_XL;Os229_1435;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;XL
166;Os229_1435_2XL;Os229_1435;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;2XL
167;Os229_1435_3XL;Os229_1435;Rozana;Kurta Set;0.4;590;477.90;2378;2495;2495;2495;2495;2495;2495;2495;2495;2495;3XL
168;Os200_5041_S;Os200_5041;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;S
169;Os200_5041_M;Os200_5041;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;M
170;Os200_5041_L;Os200_5041;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;L
171;Os200_5041_XL;Os200_5041;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;XL
172;Os200_5041_2XL;Os200_5041;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;2XL
173;Os200_5041_3XL;Os200_5041;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;3XL
174;Os188_5042_S;Os188_5042;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;S
175;Os188_5042_M;Os188_5042;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;M
176;Os188_5042_L;Os188_5042;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;L
177;Os188_5042_XL;Os188_5042;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;XL
178;Os188_5042_2XL;Os188_5042;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;2XL
179;Os188_5042_3XL;Os188_5042;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;3XL
180;Os208_5043_S;Os208_5043;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;S
181;Os208_5043_M;Os208_5043;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;M
182;Os208_5043_L;Os208_5043;Colors-7;Kurta;0.3;381;308.61;1538;1595;1595;1595;1595;1595;1595;1595;1595;1595;L
