SKU,Style,Category,Size,Color
Os149_3XL,Os149,Kurta,3XL,
Os221_S,Os221,Kurta,S,
Os221_M,Os221,Kurta,M,
Os221_L,Os221,Kurta,L,
Os221_XL,Os221,Kurta,XL,
Os221_2XL,Os221,Kurta,2XL,
Os221_3XL,Os221,Kurta,3XL,
Os153_S,Os153,Kurta,S,
Os153_M,Os153,Kurta,M,
Os153_L,Os153,Kurta,L,
Os153_XL,Os153,Kurta,XL,
Os153_2XL,Os153,Kurta,2XL,
Os153_3XL,Os153,Kurta,3XL,
Os158_S,Os158,Kurta,S,
Os158_M,Os158,Kurta,M,
Os158_L,Os158,Kurta,L,
Os158_XL,Os158,Kurta,XL,
Os158_2XL,Os158,Kurta,2XL,
Os158_3XL,Os158,Kurta,3XL,
Os150_S,Os150,Kurta,S,
Os150_M,Os150,Kurta,M,
Os150_L,Os150,Kurta,L,
Os150_XL,Os150,Kurta,XL,
Os150_2XL,Os150,Kurta,2XL,
Os150_3XL,Os150,Kurta,3XL,
Os148_S,Os148,Kurta,S,
Os148_M,Os148,Kurta,M,
Os148_L,Os148,Kurta,L,
Os148_XL,Os148,Kurta,XL,
Os148_2XL,Os148,Kurta,2XL,
Os148_3XL,Os148,Kurta,3XL,
Os154_S,Os154,Kurta,S,
Os154_M,Os154,Kurta,M,
Os154_L,Os154,Kurta,L,
Os154_XL,Os154,Kurta,XL,
Os154_2XL,Os154,Kurta,2XL,
Os154_3XL,Os154,Kurta,3XL,
Os164_S,Os164,Kurta,S,
Os164_M,Os164,Kurta,M,
Os164_L,Os164,Kurta,L,
Os164_XL,Os164,Kurta,XL,
Os164_2XL,Os164,Kurta,2XL,
Os164_3XL,Os164,Kurta,3XL,
Os168_S,Os168,Kurta,S,
Os168_M,Os168,Kurta,M,
Os168_L,Os168,Kurta,L,
Os168_XL,Os168,Kurta,XL,
Os168_2XL,Os168,Kurta,2XL,
Os168_3XL,Os168,Kurta,3XL,
Os157_S,Os157,Kurta,S,
Os157_M,Os157,Kurta,M,
